Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Montparnasse;6;Non;189.1422;0.1891422;;;;;;;2020-12-31;"{""coordinates"": [[2.327182372792909, 48.84397820895418], [2.327217732227172, 48.84403194783568], [2.327981295870212, 48.844928578761944], [2.3283913925579762, 48.845418693311956], [2.3284460773641564, 48.845458829455886]], ""type"": ""LineString""}";48.84472529866941, 2.327807265612879
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;7.45444932;0.00745444932;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.321959136709648, 48.82847885367251], [2.322015657508569, 48.82853454872816]], ""type"": ""LineString""}";48.82850670120033, 2.3219873971091083
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;36.69564858;0.03669564858;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.322156561925979, 48.82867339365256], [2.3221812085769344, 48.82869767980473], [2.322280617237245, 48.828813653862625], [2.322402600816398, 48.82896055307248]], ""type"": ""LineString""}";48.82881559475364, 2.322281113177598
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;5.7377606;0.0057377606;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.322402600816398, 48.82896055307248], [2.3224401737612723, 48.829005801313265]], ""type"": ""LineString""}";48.82898317719287, 2.322421387288835
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;25.13289619;0.02513289619;;;Niveau trottoir;;;;2021-12-31;"{""coordinates"": [[2.3054647759061253, 48.828001473972954], [2.305503678474039, 48.82800312720753], [2.3055498145474234, 48.828002919347696], [2.305608348365268, 48.82799183711731], [2.30565106416114, 48.82797780749324], [2.3056728266916338, 48.82796746327612], [2.305695335099028, 48.82795522029977], [2.305734427762325, 48.82794259692541], [2.305758991398417, 48.827938456679476], [2.305782004865663, 48.82794239734188]], ""type"": ""LineString""}";48.82797799987864, 2.305624960318316
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Gérard de Nerval;18;Non;152.21262311;0.15221262311;;;;;;;2020-12-31;"{""coordinates"": [[2.3346876313828515, 48.90045329857956], [2.3347324948378407, 48.89934329628713], [2.334745995798399, 48.89916229539773], [2.334795330643683, 48.899092270630305]], ""type"": ""LineString""}";48.89976535438031, 2.3347176734587833
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE DE RENCONTRE;CONTRESENS;Rue du Léman;19;Non;80.95488442;0.08095488442;;;;;;;2020-12-31;"{""coordinates"": [[2.4059921932664, 48.877062294977705], [2.405654558065703, 48.87775542761108]], ""type"": ""LineString""}";48.8774088612944, 2.405823375666052
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Magellan;8;Non;163.08109156;0.16308109156;;;;;;;2021-12-31;"{""coordinates"": [[2.300396122230365, 48.869575118028486], [2.3003466321491235, 48.869634316865785], [2.2995842298823006, 48.87093978470376]], ""type"": ""LineString""}";48.87025391610971, 2.299985144099959
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Euler;8;Non;5.7393909;0.0057393909;;;;;;;2021-12-31;"{""coordinates"": [[2.2977995312794173, 48.8710126109279], [2.2977561371289976, 48.87102068517873], [2.297725367655384, 48.87102883258602]], ""type"": ""LineString""}";48.8710200463776, 2.2977622974420076
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Vernet;8;Non;352.57151617;0.35257151617;;;;;;;2021-12-31;"{""coordinates"": [[2.296454126353313, 48.872343016752026], [2.2967189072959355, 48.87239549448298], [2.2967383853345535, 48.87239560892258], [2.2969536004053714, 48.872325487757934], [2.2969983963257636, 48.87232051577577], [2.3000145646545844, 48.871367348451365], [2.3006531285977667, 48.87109124918248], [2.300743249191905, 48.871041805420404]], ""type"": ""LineString""}";48.871796074633174, 2.2986167877158614
