Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;11.35902249;0.011359022489999999;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3068534877069156, 48.828451273159445], [2.306980063013265, 48.82851002738924]], ""type"": ""LineString""}";48.828480650274344, 2.30691677536009
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Département;18;Non;465.88371897;0.46588371897;;;;;;;2020-12-31;"{""coordinates"": [[2.35972763264759, 48.886818764612116], [2.360955764548894, 48.886767741833076], [2.361042880594929, 48.886725376363955], [2.3611093537266417, 48.8867185931274], [2.3612844923497756, 48.886677648616136], [2.3616738205100907, 48.886588829070085], [2.363122378155842, 48.88621535188773], [2.3632071398803296, 48.88618820060222], [2.365728512692351, 48.8855519304343]], ""type"": ""LineString""}";48.886285124656865, 2.3627417228159207
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Euler;8;Non;9.8440136;0.0098440136;;;;;;;2021-12-31;"{""coordinates"": [[2.297725367655384, 48.87102883258602], [2.2976235896297466, 48.871086533620115]], ""type"": ""LineString""}";48.87105768310307, 2.2976744786425654
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Louis Loucheur;17;Non;79.04216978;0.07904216977999999;;;;;;;2020-12-31;"{""coordinates"": [[2.326354713299864, 48.897687404015954], [2.3263288601119028, 48.89770972990207], [2.3263024280647766, 48.897744321050446], [2.3262803250445083, 48.89777893654536], [2.3262698208856047, 48.89780981046505], [2.32619848743021, 48.8978560469843], [2.325639604749125, 48.89820696352639]], ""type"": ""LineString""}";48.8979642000178, 2.3260143208308874
Bandes cyclables;;ZONE 30;CONTRESENS;Rue des Lilas;19;Non;132.79100932;0.13279100932000001;;;;;;;2020-12-31;"{""coordinates"": [[2.3955796565375636, 48.877728990105744], [2.395562980414998, 48.87779214679734], [2.3955495117304375, 48.87786465292451], [2.395556146963314, 48.877914654997], [2.3957406746036867, 48.87833437563073], [2.3958773908569313, 48.87852185456221], [2.396118941070618, 48.8788466825039]], ""type"": ""LineString""}";48.87831097860568, 2.395774649524199
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue Jean Rey;15;Non;279.06049766;0.27906049766;;;;;;;2020-12-31;"{""coordinates"": [[2.2930099660655974, 48.856137144995834], [2.2929088010817815, 48.856045172529385], [2.2923459297949016, 48.85553785495485], [2.2923122501848616, 48.85552195028425], [2.2922340639077077, 48.855490553533116], [2.292141977066549, 48.855473828466685], [2.2920880001286696, 48.85546541852177], [2.2897078826187296, 48.85529414647883]], ""type"": ""LineString""}";48.85550370778078, 2.2914468063628397
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Grenelle;7;Non;418.85763091;0.41885763091;;;;;;;2020-12-31;"{""coordinates"": [[2.3210942664135787, 48.856476392235926], [2.3212509200395295, 48.85641972224551], [2.322538081829024, 48.85602011437472], [2.323238158566608, 48.8557040261459], [2.323317795490206, 48.85568068139899], [2.3237458560696496, 48.85548440870936], [2.3244635319286915, 48.855061333695176], [2.324665130516601, 48.85494825356745], [2.325863473844448, 48.85444102848182]], ""type"": ""LineString""}";48.855521048430816, 2.323503964748328
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Fleurus;6;Non;59.21357652;0.05921357652;;;;;;;2021-12-31;"{""coordinates"": [[2.3280814502757643, 48.84667478354741], [2.327338447127265, 48.84646715563793]], ""type"": ""LineString""}";48.84657096959267, 2.3277099487015147
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;5.09982881;0.00509982881;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3219204690417468, 48.82844075089188], [2.321959136709648, 48.82847885367251]], ""type"": ""LineString""}";48.8284598022822, 2.3219398028756975
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;37.50111614;0.03750111614;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3063284671726083, 48.82820756350919], [2.3067463444012692, 48.82840153887748]], ""type"": ""LineString""}";48.828304551193334, 2.3065374057869388
Pistes cyclables;;ZONE 30;SENS CIRCULATION GENERALE;Rue Riquet;18;Non;239.87234059;0.23987234058999998;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3638764349689856, 48.88988352940347], [2.3644970094104933, 48.88987111789162], [2.3671399475521415, 48.88973996751477]], ""type"": ""LineString""}";48.889819180856044, 2.3655084499367067
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Gallilée;8;Non;192.85737234;0.19285737234;;;;;;;2021-12-31;"{""coordinates"": [[2.299350837450778, 48.872279249098405], [2.299158418582937, 48.87213951039565], [2.299147917342083, 48.872115654073845], [2.297707663623432, 48.87111852198746], [2.2976626743881594, 48.871111119016106], [2.2976235896297466, 48.871086533620115], [2.2975465602401437, 48.87102834455377]], ""type"": ""LineString""}";48.871641271762435, 2.298456870734333
Bandes cyclables;;ZONE 30;CONTRESENS;Rue de la Santé;14;Non;316.82217427;0.31682217427;;;;;;;2021-12-31;"{""coordinates"": [[2.342026050944451, 48.83824030912526], [2.3417407293052133, 48.83599955255051], [2.3417045667533616, 48.83572332193026], [2.3416588897728525, 48.83540135090378]], ""type"": ""LineString""}";48.83682051312872, 2.341844838122773
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Auguste Cain;14;Non;155.39719658;0.15539719658;;;;;;;2020-12-31;"{""coordinates"": [[2.3196626629588253, 48.82615266485329], [2.320985596994479, 48.8258555937751], [2.321519931626948, 48.82564446100058], [2.321578257322263, 48.82559363072083]], ""type"": ""LineString""}";48.82591657833609, 2.320637064885187
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;20.57073721;0.020570737210000002;;;Niveau chaussée;;Traversée de carrefour;;2021-12-31;"{""coordinates"": [[2.3195566530580596, 48.82610142039238], [2.319731725147326, 48.82624586282387]], ""type"": ""LineString""}";48.82617364160812, 2.319644189102693
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;RUE VAVIN;6;Non;75.93661285;0.07593661285;;;;;;;2020-12-31;"{""coordinates"": [[2.328465369149635, 48.842475578589664], [2.329166733562596, 48.842977648319355]], ""type"": ""LineString""}";48.842726613454516, 2.3288160513561156
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Cherche Midi;6;Non;267.85278041;0.26785278041;;;;;;;2021-12-31;"{""coordinates"": [[2.327389499210676, 48.8501609919253], [2.3285623205731665, 48.85092427878617], [2.3288877042740674, 48.8511366943705], [2.329234188828828, 48.85139087026433], [2.3293889757934614, 48.851551167917656], [2.329557909723956, 48.851732961008345], [2.3297422429499806, 48.85197908835928]], ""type"": ""LineString""}";48.85100424648016, 2.3286238883594983
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Olivier Noyer;14;Non;158.21054254;0.15821054254;;;;;;;2020-12-31;"{""coordinates"": [[2.323282171575136, 48.83043406795321], [2.3232369821452945, 48.83044452021121], [2.3214804654073142, 48.83121310903559]], ""type"": ""LineString""}";48.83081961413867, 2.322380001948239
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Maison Dieu;14;Non;54.67664947;0.05467664947;;;;;;;2020-12-31;"{""coordinates"": [[2.32295111301873, 48.835394699233746], [2.3229964545694, 48.83540066688459], [2.323685563011312, 48.83547660490975]], ""type"": ""LineString""}";48.83543610159761, 2.323318283670567
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Cicé;6;Non;73.29603874;0.07329603874;;;;;;;2020-12-31;"{""coordinates"": [[2.3279792215960318, 48.843580856590066], [2.327182372792909, 48.84397820895418]], ""type"": ""LineString""}";48.84377953277212, 2.32758079719447
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Regnard;6;Non;28.31316321;0.02831316321;;;;;;;2021-12-31;"{""coordinates"": [[2.3379656320086277, 48.84982811530943], [2.3383455097743835, 48.849783577779355]], ""type"": ""LineString""}";48.84980584654439, 2.3381555708915056
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue du Vieux Colombier;6;Non;98.39790712;0.09839790712;;;;;;;2020-12-31;"{""coordinates"": [[2.3298073440282887, 48.85198442736825], [2.3310201286743584, 48.85160691636044]], ""type"": ""LineString""}";48.851795671864345, 2.3304137363513235
Bandes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;44.91975348;0.04491975348;;;;;Traversée de carrefour;;2020-12-31;"{""coordinates"": [[2.3323446891046764, 48.852552920385], [2.332262983697706, 48.85253907662409], [2.331766909169511, 48.85242013729856]], ""type"": ""LineString""}";48.85248888491606, 2.332055317660352
Bandes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;49.38317807;0.04938317807;;;;;;;2020-12-31;"{""coordinates"": [[2.333001738040523, 48.85264771666664], [2.332662363288757, 48.852606742823106], [2.3323446891046764, 48.852552920385]], ""type"": ""LineString""}";48.85260423153361, 2.3326726462030667
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Marios Nikis;15;Non;220.35508855;0.22035508855;;;;;;;2020-12-31;"{""coordinates"": [[2.3053496129959554, 48.84719823064873], [2.3052678134922604, 48.84724891685444], [2.3052350503328185, 48.847272521950636], [2.3041605883608836, 48.84862501150079], [2.3041638126071993, 48.8486535850048], [2.304388992476808, 48.84880123774488], [2.3045124377852853, 48.848872152409065], [2.304516043305353, 48.84887217336802]], ""type"": ""LineString""}";48.84806215434173, 2.3046616069749053
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Lebouis;14;Non;107.19641653;0.10719641652999999;;;;;;;2020-12-31;"{""coordinates"": [[2.3213578893899265, 48.837010950733365], [2.3214044236917823, 48.83698075577864], [2.3219722423007227, 48.83639336210971], [2.322156368945288, 48.836204991085914]], ""type"": ""LineString""}";48.836612187428955, 2.321760521589707
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Bouloi;1;Non;130.17080266;0.13017080266;;;;;;;2020-12-31;"{""coordinates"": [[2.3405198872888158, 48.86338647276444], [2.340548105748781, 48.8634365977613], [2.3406105535913473, 48.863489291917496], [2.341793231353736, 48.864082355021694], [2.3418967980491887, 48.8640984104061]], ""type"": ""LineString""}";48.86377561782329, 2.341187926178933
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Saint-Simon;7;Non;158.74261235;0.15874261235;;;;;;;2020-12-31;"{""coordinates"": [[2.3234447776116838, 48.855670525327284], [2.323706457258076, 48.855957550541554], [2.3239758121163865, 48.856264606600305], [2.324158578477283, 48.856464093159666], [2.3245132512450812, 48.856866335212], [2.3245547156303785, 48.856894647987126]], ""type"": ""LineString""}";48.85628578771847, 2.3239972253456265
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Oudinot;7;Non;226.02380465;0.22602380465;;;;;;;2020-12-31;"{""coordinates"": [[2.3195517698107206, 48.85053429700727], [2.319296840303534, 48.85049665130544], [2.318652715051515, 48.8503978021711], [2.318595860539703, 48.85038891199187], [2.317726814864744, 48.85017455800839], [2.317093508355433, 48.850021033360456], [2.3167779720996022, 48.84994165765551], [2.316637421937511, 48.84989263219408]], ""type"": ""LineString""}";48.85024914655194, 2.318086882212931
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue du Montparnasse;6;Non;107.79914938;0.10779914938;;;;;;;2021-12-31;"{""coordinates"": [[2.3264795356719996, 48.843127125873195], [2.32652025538268, 48.84318446476526], [2.3271272797959615, 48.843917219918325], [2.327182372792909, 48.84397820895418]], ""type"": ""LineString""}";48.8435552224682, 2.3268277821645325
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Garancière;6;Non;172.35653678;0.17235653677999999;;;;;;;2021-12-31;"{""coordinates"": [[2.33568415682059, 48.85128515742225], [2.335737596936076, 48.85082667671857], [2.3357375261817923, 48.85071912037078], [2.3358797972962475, 48.8497409609136]], ""type"": ""LineString""}";48.85051227082763, 2.3357747740196912
Pistes cyclables;Non;VOIE 50;SENS CIRCULATION GENERALE;BOULEVARD VINCENT AURIOL;13;Non;28.09088984;0.028090889839999997;;;Niveau chaussée;;Traversée de carrefour;;2021-12-31;"{""coordinates"": [[2.3714013511511367, 48.836114362683496], [2.3716954712746268, 48.8362759951253]], ""type"": ""LineString""}";48.836195178904404, 2.3715484112128817
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Commandant Guilbaud;;Non;18.91965036;0.018919650359999998;;;;;;;2020-12-31;"{""coordinates"": [[2.251744134420797, 48.83874547919896], [2.251750181527158, 48.83857537491714]], ""type"": ""LineString""}";48.83866042705805, 2.251747157973978
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Furtado Heine;14;Non;120.65009242;0.12065009242;;;;;;;2020-12-31;"{""coordinates"": [[2.3186541082346457, 48.829475165918225], [2.3196439137731004, 48.830341365825554]], ""type"": ""LineString""}";48.829908265871886, 2.319149011003873
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue des Lilas;19;Non;176.96508328;0.17696508328;;;;;;;2020-12-31;"{""coordinates"": [[2.396118941070618, 48.8788466825039], [2.3961112995361176, 48.8788835263432], [2.396175281099238, 48.87896594072629], [2.3964204566793907, 48.879289596382485], [2.3964610734798906, 48.879364754805], [2.396733343306801, 48.8803084000862], [2.3967507053483845, 48.88036678560051]], ""type"": ""LineString""}";48.87957860037503, 2.3964829298297707
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue des Mignottes;19;Non;75.73738348;0.07573738348;;;;;;;2020-12-31;"{""coordinates"": [[2.391879879004977, 48.88009415508642], [2.3918815604783146, 48.88007370030747], [2.3918725813249644, 48.88003939028119], [2.391845580307537, 48.88000356147128], [2.3913497907244547, 48.87951753126496]], ""type"": ""LineString""}";48.87979681807922, 2.3916322010739375
Bandes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;24.42118318;0.02442118318;;;Niveau chaussée;;Traversée de carrefour;;2021-12-31;"{""coordinates"": [[2.321394766389728, 48.827936335818045], [2.3215854449065887, 48.82811630284398]], ""type"": ""LineString""}";48.828026319331016, 2.3214901056481585
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;14.47931294;0.014479312939999999;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3218106854600906, 48.82833257011342], [2.3219204690417468, 48.82844075089188]], ""type"": ""LineString""}";48.828386660502645, 2.321865577250919
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Maurice Rouvier;14;Non;166.6767857;0.16667678570000002;;;;;;;2020-12-31;"{""coordinates"": [[2.3108843474641243, 48.83032373167672], [2.310820819870599, 48.83035787019198], [2.309325476329434, 48.83141292706142]], ""type"": ""LineString""}";48.83086475095917, 2.31010269932046
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de l'Abbé Carton;14;Non;594.14285714;0.59414285714;;;;;;;2020-12-31;"{""coordinates"": [[2.3143033719269885, 48.83066019797114], [2.314441155028087, 48.830597928112304], [2.3161749203377116, 48.82976666384027], [2.317390058342149, 48.82917751504173], [2.318073775303595, 48.828847080319086], [2.3186410701828577, 48.82859926521485], [2.3193895778585336, 48.82827395240528], [2.3209479722808943, 48.82761295135191]], ""type"": ""LineString""}";48.82910212899302, 2.3176100758975067
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Vaneau;7;Non;746.29540346;0.74629540346;;;;;;;2020-12-31;"{""coordinates"": [[2.320506090823207, 48.84845082756325], [2.3200810698845777, 48.84938477129498], [2.3195804827686413, 48.85047152583778], [2.319031147839984, 48.851672457655404], [2.319010649200718, 48.8517235009864], [2.3190136952100175, 48.851766350260725], [2.319089282391107, 48.85274239844798], [2.319543745806794, 48.85397521325034], [2.3199258552115607, 48.854947399515034]], ""type"": ""LineString""}";48.85167195197254, 2.319567552712509
Pistes cyclables;;ZONE 30;SENS CIRCULATION GENERALE;Rue Riquet;18;Non;6.47888474;0.0064788847399999995;;;Niveau chaussée;;Passage piéton;;2021-12-31;"{""coordinates"": [[2.3671399475521415, 48.88973996751477], [2.3672279835453804, 48.889735013452054]], ""type"": ""LineString""}";48.88973749048341, 2.3671839655487608
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de l'Inspecteur Allès;19;Non;74.74773522;0.07474773522;;;;;;;2020-12-31;"{""coordinates"": [[2.398049185211844, 48.878891582707965], [2.39789792502859, 48.878307373264605], [2.3978824027951147, 48.878228493251825]], ""type"": ""LineString""}";48.87856050282963, 2.397963751962048
Pistes cyclables;Non;VOIE 50;SENS CIRCULATION GENERALE;BOULEVARD VINCENT AURIOL;13;Non;27.39873056;0.02739873056;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.371983571213566, 48.836432667578634], [2.3716954712746268, 48.8362759951253]], ""type"": ""LineString""}";48.83635433135197, 2.3718395212440964
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Bouliette;14;Non;57.27197325;0.057271973250000004;;;;;;;2020-12-31;"{""coordinates"": [[2.31700323578993, 48.828239021807306], [2.3164131437251796, 48.82857593334967]], ""type"": ""LineString""}";48.828407477578494, 2.3167081897575548
Pistes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;10.86575294;0.01086575294;;;;;;;2021-12-31;"{""coordinates"": [[2.335111532544547, 48.852944576457595], [2.3350399264847623, 48.8529269414824], [2.334970791396225, 48.85291453106484]], ""type"": ""LineString""}";48.85292843049387, 2.3350414008522127
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Huysmans;6;Non;13.05774954;0.01305774954;;;;;;;2021-12-31;"{""coordinates"": [[2.328740863548277, 48.845639090898366], [2.3286615662620163, 48.84562708734067], [2.3285674225641433, 48.84561289410144]], ""type"": ""LineString""}";48.84562597960814, 2.328654145003739
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Gergovie;14;Non;155.07784547;0.15507784547;;;;;;;2020-12-31;"{""coordinates"": [[2.31778611013049, 48.83180715568152], [2.3179829257903783, 48.831663531931845], [2.3179814971988364, 48.8316349677435], [2.3181855994408855, 48.83146242083424], [2.3182235976850945, 48.83145073961824], [2.3189868473309856, 48.83082806364646], [2.3190743857371654, 48.83074884505153], [2.319089129155943, 48.83072394344836]], ""type"": ""LineString""}";48.8312730338756, 2.3184388254266475
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Sextius Michel;15;Non;165.91854756;0.16591854756000002;;;;;;;2020-12-31;"{""coordinates"": [[2.288663174195938, 48.85187360542489], [2.288739409905824, 48.85183598507524], [2.288748732730869, 48.851813435049536], [2.2885406721467874, 48.85041420302695]], ""type"": ""LineString""}";48.85116653390047, 2.2886494500876626
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Talleyrand;7;Non;141.35102636;0.14135102636;;;;;;;2020-12-31;"{""coordinates"": [[2.315254357169071, 48.857972003513574], [2.315377849770777, 48.85882968042447], [2.315366766727436, 48.858849843463695], [2.3147807162963803, 48.85888408389303]], ""type"": ""LineString""}";48.8585929991709, 2.3152206224439325
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Lille;7;Non;78.72162369;0.07872162369;;;;;;;2020-12-31;"{""coordinates"": [[2.3193589695602896, 48.8615546014282], [2.320164102827707, 48.861320272687664], [2.3202138423215564, 48.86132245916144], [2.320295770986883, 48.861345292261795], [2.320343007824274, 48.86136284605662]], ""type"": ""LineString""}";48.86141908526883, 2.319850761174914
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Paul-Louis Courier;7;Non;115.5205119;0.1155205119;;;;;;;2020-12-31;"{""coordinates"": [[2.3240919437325678, 48.856391361963794], [2.3253465711076076, 48.85595158011577], [2.3254306021960875, 48.85592302270524], [2.325447361547328, 48.855909792350126], [2.32545916407978, 48.85588939407655]], ""type"": ""LineString""}";48.85614916546447, 2.3247821832595474
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;9.27991984;0.00927991984;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3206817375867126, 48.82725592974536], [2.320726977308177, 48.82731044617675], [2.3207457320570195, 48.827327771288935]], ""type"": ""LineString""}";48.827292704348174, 2.3207128343832526
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;18.58359028;0.01858359028;;;Niveau chaussée;;Traversée de carrefour;;2021-12-31;"{""coordinates"": [[2.322015657508569, 48.82853454872816], [2.322156561925979, 48.82867339365256]], ""type"": ""LineString""}";48.82860397119036, 2.322086109717274
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Joanès;14;Non;99.93138618;0.09993138618;;;;;;;2020-12-31;"{""coordinates"": [[2.317801251104253, 48.82897878943995], [2.317696916653623, 48.828863967998245], [2.317674082809272, 48.828818625152515], [2.31735893680832, 48.828526515023015], [2.317294503011415, 48.82849283248994], [2.317027436990854, 48.828245018562065]], ""type"": ""LineString""}";48.828602367139865, 2.3174245219394405
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Varenne;7;Non;6.47233122;0.00647233122;;;;;;;2020-12-31;"{""coordinates"": [[2.326415738567224, 48.85341751320966], [2.326328127665576, 48.85342425799639]], ""type"": ""LineString""}";48.85342088560303, 2.3263719331164
Pistes cyclables;;ZONE 30;SENS CIRCULATION GENERALE;Rue Riquet;18;Non;27.88227131;0.02788227131;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3672279835453804, 48.889735013452054], [2.367606851475217, 48.8897136919345]], ""type"": ""LineString""}";48.88972435269328, 2.367417417510299
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Vernet;8;Non;4.98793034;0.00498793034;;;;;;;2021-12-31;"{""coordinates"": [[2.300743249191905, 48.871041805420404], [2.300788426917285, 48.87100828006686]], ""type"": ""LineString""}";48.87102504274363, 2.300765838054595
Pistes cyclables;Oui;VOIE 50;SENS CIRCULATION GENERALE;Quai André Citroën;15;Non;184.7326246;0.1847326246;Axial;Oui;Niveau chaussée;;;REVe;2020-12-31;"{""coordinates"": [[2.2694879159362418, 48.83882365376194], [2.269527368262822, 48.83886338799055], [2.2696228237447102, 48.83894582916197], [2.2698311724131006, 48.83910129872663], [2.269998970273409, 48.839217971496055], [2.270171480591856, 48.83935846838269], [2.2703072386107013, 48.83949778927379], [2.2706190380646483, 48.83983473787253], [2.2708383644394026, 48.8400821253808], [2.270933614520803, 48.84017682978024]], ""type"": ""LineString""}";48.839472866297726, 2.270235763300843
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Baillou;14;Non;113.91964048;0.11391964048;;;;;;;2020-12-31;"{""coordinates"": [[2.3206702426896992, 48.82914059814715], [2.322014066652616, 48.82862827993746]], ""type"": ""LineString""}";48.828884439042305, 2.3213421546711577
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;13.18711568;0.01318711568;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.319124033963427, 48.82563684898479], [2.3192179291435364, 48.825737952130595]], ""type"": ""LineString""}";48.8256874005577, 2.319170981553482
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Coëtlogon;6;Non;116.40283214;0.11640283214;;;;;;;2020-12-31;"{""coordinates"": [[2.3296583509261892, 48.850113432139146], [2.3280882034035533, 48.84996470701794]], ""type"": ""LineString""}";48.85003906957854, 2.3288732771648712
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de la Cavalerie;15;Non;155.08426997;0.15508426997000002;;;;;;;2020-12-31;"{""coordinates"": [[2.2996316180754395, 48.85018170451558], [2.3005497233158976, 48.849610030484584], [2.300593418550288, 48.84957816161604], [2.300626058894557, 48.849564075047866], [2.3006619521757927, 48.84957618251239], [2.3011544143849396, 48.849910651956115]], ""type"": ""LineString""}";48.84982328822718, 2.3003966473707687
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Juge;15;Non;74.60129855;0.07460129855;;;;;;;2020-12-31;"{""coordinates"": [[2.2912421041108444, 48.85050839704631], [2.2912795660886145, 48.85042529485727], [2.2920748989350366, 48.85016878000017]], ""type"": ""LineString""}";48.850313738439816, 2.291636278985597
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Courty;7;Non;73.03240844;0.07303240844;;;;;;;2020-12-31;"{""coordinates"": [[2.3204643605569273, 48.86123414025405], [2.320335200104946, 48.86117990531357], [2.3200043103106713, 48.860668804224346]], ""type"": ""LineString""}";48.860977225811894, 2.320212779772041
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Commaille;7;Non;101.37709548;0.10137709548;;;;;;;2020-12-31;"{""coordinates"": [[2.325056257504845, 48.85268003435804], [2.3248632365969035, 48.85268846418807], [2.323679171297416, 48.852753084568214]], ""type"": ""LineString""}";48.85271565714509, 2.324367670076902
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de l'Odéon;6;Non;211.92815553;0.21192815553;;;;;;;2021-12-31;"{""coordinates"": [[2.338658268981907, 48.851959267080865], [2.3386626075997743, 48.85167422119053], [2.338692704830563, 48.850098170751245], [2.3386838926824964, 48.850053862852256]], ""type"": ""LineString""}";48.85100613730861, 2.338675333913455
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Haxo;19;Non;7.38701024;0.00738701024;;;;;;;2020-12-31;"{""coordinates"": [[2.4016650562637087, 48.878552239611054], [2.4017095960343893, 48.878569118682115], [2.4017561681028425, 48.878579887060006]], ""type"": ""LineString""}";48.878567603319915, 2.40171014467989
